
  0%|                                                                                                                                                                                                                                                          | 0/9000 [00:00<?, ?it/s]
0.0004
time for getitem:  0.0006849765777587891
time for getitem:  0.000492095947265625
time for getitem:  0.0005331039428710938
time for getitem:  0.0005602836608886719
time for getitem:  0.0006108283996582031
time for getitem:  0.0004913806915283203
time for getitem:  0.0008988380432128906
time for getitem:  0.0007026195526123047
time for getitem:  0.0008606910705566406
time for getitem:  0.0005283355712890625
time for getitem:  0.0006039142608642578
time for getitem:  0.0004093647003173828
time for getitem:  0.00043129920959472656
time for getitem:  0.004655361175537109
time for getitem:  0.0006928443908691406
time for getitem:  0.0004432201385498047
time for getitem:  0.0003218650817871094
time for getitem:  0.0006341934204101562
time for getitem:  0.0007147789001464844
time for getitem:  0.0006439685821533203
time for getitem:  0.0007274150848388672
time for getitem:  0.0004963874816894531
time for getitem:  0.0010535717010498047
time for getitem:  0.000759124755859375
time for getitem:  0.0005462169647216797
time for getitem:  0.0005247592926025391
time for getitem:  0.0006573200225830078
time for getitem:  0.0004928112030029297
time for getitem:  0.0007293224334716797
time for getitem:  0.0005183219909667969
time for getitem:  0.0006320476531982422
time for getitem:  0.0007069110870361328
time for getitem:  0.0005333423614501953
time for getitem:  0.0004990100860595703
time for getitem:  0.0006289482116699219
time for getitem:  0.0007469654083251953
time for getitem:  0.0007579326629638672
time for getitem:  0.0005025863647460938
time for getitem:  0.0003349781036376953
time for getitem:  0.0005881786346435547
time for getitem:  0.0010142326354980469
time for getitem:  0.0007266998291015625
time for getitem:  0.0006718635559082031
time for getitem:  0.0006237030029296875
time for getitem:  0.0007014274597167969
time for getitem:  0.000812530517578125
time for getitem:  0.003064870834350586
time for getitem:  0.0007376670837402344
time for getitem:  0.00054931640625
time for getitem:  0.0004477500915527344
